date,h
1924-05-09 07:00:00,230.0
1924-06-05 07:00:00,115.0
1924-07-09 07:00:00,107.0
1924-08-31 23:59:00,107.0
1924-09-01 07:00:00,108.0
1924-10-31 23:59:00,155.0
1924-11-13 07:00:00,465.0
1924-12-31 07:00:00,170.0
1925-01-29 07:00:00,160.0
1925-02-19 07:00:00,304.0
1925-03-01 07:00:00,270.0
1925-04-30 23:59:00,199.0
1925-05-02 07:00:00,238.0
1925-06-26 07:00:00,123.0
1925-07-07 07:00:00,131.0
1925-08-04 07:00:00,128.0
1925-09-28 07:00:00,220.0
1925-10-03 07:00:00,174.0
1925-11-13 07:00:00,300.0
1925-12-31 23:59:00,470.0
1926-01-08 07:00:00,602.0
1926-02-07 07:00:00,365.0
1926-03-10 07:00:00,280.0
1926-04-28 07:00:00,171.0
1926-05-22 07:00:00,350.0
1926-06-18 07:00:00,320.0
1926-07-01 00:01:00,176.0
1926-08-02 07:00:00,112.0
1926-09-25 07:00:00,96.0
1926-10-31 07:00:00,110.0
1926-11-09 07:00:00,138.0
1926-12-03 07:00:00,150.0
1927-01-25 07:00:00,260.0
1927-02-28 23:59:00,299.0
1927-03-12 07:00:00,400.0
1927-04-08 07:00:00,278.0
1927-05-08 07:00:00,156.0
1927-06-04 07:00:00,112.0
1927-07-12 07:00:00,167.0
1927-08-29 07:00:00,104.0
1927-09-29 07:00:00,166.0
1927-10-01 00:01:00,140.0
1927-11-14 07:00:00,236.0
1927-12-27 07:00:00,215.0
1928-01-21 07:00:00,270.0
1928-02-17 07:00:00,439.0
1928-03-01 00:01:00,247.0
1928-04-20 07:00:00,230.0
1928-05-08 07:00:00,266.0
1928-06-08 07:00:00,158.0
1928-07-05 07:00:00,110.0
1928-08-02 07:00:00,134.0
1928-09-04 07:00:00,104.0
1928-10-29 07:00:00,110.0
1928-11-30 23:59:00,300.0
1928-12-06 07:00:00,312.0
1929-01-02 07:00:00,268.0
1929-02-14 07:00:00,166.0
1929-03-01 07:00:00,129.0
1929-04-18 07:00:00,105.0
1929-05-18 07:00:00,99.0
1929-06-08 07:00:00,120.0
1929-07-10 07:00:00,112.0
1929-08-01 07:00:00,97.0
1929-09-04 07:00:00,94.0
1929-10-09 07:00:00,95.0
1929-11-26 07:00:00,141.0
1929-12-31 23:59:00,214.0
1930-01-16 07:00:00,305.0
1930-02-07 07:00:00,182.0
1930-03-26 07:00:00,286.0
1930-04-01 00:01:00,219.0
1930-05-29 07:00:00,216.0
1930-06-03 07:00:00,179.0
1930-07-04 07:00:00,144.0
1930-08-08 07:00:00,134.0
1930-09-16 07:00:00,118.0
1930-10-17 07:00:00,330.0
1930-11-30 23:59:00,588.0
1930-12-02 07:00:00,608.0
1931-01-31 23:59:00,365.0
1931-02-03 07:00:00,380.0
1931-03-13 07:00:00,583.0
1931-04-29 07:00:00,210.0
1931-05-22 07:00:00,236.0
1931-06-01 00:01:00,168.0
1931-07-19 07:00:00,110.0
1931-08-26 07:00:00,172.0
1931-09-07 07:00:00,224.0
1931-10-14 07:00:00,177.0
1931-11-30 23:59:00,144.0
1931-12-14 07:00:00,213.0
1932-01-11 07:00:00,330.0
1932-02-01 00:01:00,153.0
1932-03-11 07:00:00,151.0
1932-04-10 07:00:00,304.0
1932-05-28 07:00:00,185.0
1932-06-08 07:00:00,188.0
1932-07-20 07:00:00,113.0
1932-08-24 07:00:00,100.0
1932-09-26 07:00:00,99.0
1932-10-31 23:59:00,177.0
1932-11-03 07:00:00,230.0
1932-12-05 07:00:00,153.0
1933-01-28 07:00:00,167.0
1933-02-13 07:00:00,181.0
1933-03-05 07:00:00,173.0
1933-04-17 07:00:00,108.0
1933-05-20 07:00:00,132.0
1933-06-30 23:59:00,118.0
1933-07-01 07:00:00,121.0
1933-08-17 07:00:00,118.0
1933-09-19 07:00:00,110.0
1933-10-04 07:00:00,100.0
1933-11-11 07:00:00,130.0
1933-12-16 07:00:00,169.0
1934-01-21 07:00:00,191.0
1934-02-01 07:00:00,147.0
1934-03-23 07:00:00,233.0
1934-04-01 00:01:00,169.0
1934-05-08 07:00:00,127.0
1934-06-13 07:00:00,111.0
1934-07-02 07:00:00,129.0
1934-08-17 07:00:00,100.0
1934-09-19 07:00:00,105.0
1934-10-23 07:00:00,101.0
1934-11-14 07:00:00,115.0
1934-12-28 07:00:00,180.0
1935-01-04 07:00:00,192.0
1935-02-27 07:00:00,433.0
1935-03-05 07:00:00,405.0
1935-04-30 07:00:00,240.0
